이름,우편번호,주소,상세주소,전화번호,이메일
최영호,10120,대전광역시 금천구 반포대거리 226 (수진이정리),도현윤빌라 728호,070-5001-8179,yeongsigbag@example.net
노영환,38438,대구광역시 동구 서초대652거리 918 (상훈이읍),명숙김이타워 J동 276호,016-383-7146,gimyejun@example.org
하준혁,79025,제주특별자치도 고양시 일산서구 역삼4로 585 (영길최리),현준이윤마을,052-468-3895,yeonghwan25@example.net
이옥자,84878,부산광역시 동구 학동길 752 (민준송김동),경희김박연립 971호,011-863-2137,jihuseo@example.com
이도윤,03768,전라북도 수원시 권선구 백제고분길 788 (옥자황이읍),경숙김아파트 389호,061-912-9995,bagjeongung@example.net
김민준,50641,경상남도 양양군 강남대865가 628-99,지영박빌라 549호,055-404-7663,yeongsu19@example.com
성정훈,55784,서울특별시 강남구 논현거리 917 (은경김김면),승민조고타워 776호,044-412-3846,yeongjagim@example.com
안서윤,03400,전라남도 여주시 강남대거리 805 (정순지이읍),지원엄마을 Q동 545호,044-138-6278,gimgyeongsu@example.org
장건우,05738,세종특별자치시 마포구 가락228로 496-15 (영일김이동),지영김김연립 D동 722호,044-987-6569,sanghunhan@example.net
김진우,49348,세종특별자치시 광진구 영동대492가 823-25,민석고마을 J동 338호,043-575-4051,baegyejin@example.org
김영희,26363,울산광역시 구로구 도산대거리 488,지현최타워 M동 950호,017-271-3689,gimdohyeon@example.net
김지영,62956,충청남도 증평군 서초중앙길 347-33,영순황마을,010-7744-0508,minseo27@example.net
서영미,62758,광주광역시 종로구 학동길 280-16,예원김서마을 나동 730호,041-904-9869,san@example.com
강현숙,30608,충청북도 안양시 언주거리 217,준혁김지타운,019-621-3077,iyeongho@example.com
최동현,86685,서울특별시 광진구 봉은사47로 663-30,민재윤권아파트 Q동 356호,042-257-3795,gwangsu36@example.com
김하은,30809,제주특별자치도 부천시 원미구 석촌호수길 지하132,영철한이빌라 U동 866호,033-252-8063,pgim@example.net
양상철,95804,경상남도 광주시 압구정로 745 (승민남박면),춘자민이연립 O동 294호,019-755-5349,gangseongjin@example.org
권동현,96585,제주특별자치도 정선군 선릉길 87,영자김전연립 015호,043-446-1104,osubin@example.com
박종수,52616,충청북도 용인시 삼성길 지하730 (지영이한면),수빈윤빌라 485호,064-784-7152,yeonggil66@example.net
김유진,75893,서울특별시 동구 양재천로 지하551,민지김타운,019-344-3518,hyeonju52@example.net
김서연,08340,제주특별자치도 고성군 삼성08길 226 (윤서윤김동),정순이아파트 J동 518호,061-565-4174,gi@example.net
박민석,71470,강원도 광주시 삼성길 602 (정숙최이면),종수성고타운 A동 288호,016-803-5297,ieunju@example.com
곽정순,33806,인천광역시 영등포구 개포가 598-20,지은박성연립 017호,032-803-3137,seonyeong84@example.net
한도현,53428,제주특별자치도 하남시 역삼354거리 859,영길이마을 W동 210호,018-337-5450,gryu@example.com
김서연,35973,충청남도 수원시 장안구 개포161길 841,미숙김아파트 H동 236호,053-366-5093,abag@example.com
